	counts
CNNM2	29.0
NT5C2	181.0
RPEL1	2.0
INA	2.0
PCGF6	39.0
TAF5	6.0
ATP5MK	2452.0
PDCD11	115.0
CALHM2	117.0
CALHM1	0.0
CALHM3	24.0
NEURL1	2.0
SH3PXD2A	383.0
STN1	69.0
SLK	140.0
COL17A1	0.0
SFR1	24.0
CFAP43	7.0
GSTO1	901.0
GSTO2	107.0
ITPRIP	69.0
CFAP58	7.0
SORCS3	13.0
SORCS1	7.0
XPNPEP1	231.0
ADD3	293.0
MXI1	261.0
SMNDC1	216.0
DUSP5	51.0
SMC3	255.0
RBM20	3.0
PDCD4	256.0
BBIP1	210.0
SHOC2	68.0
ADRA2A	28.0
GPAM	113.0
TECTB	0.0
ACSL5	52.0
ZDHHC6	200.0
VTI1A	63.0
TCF7L2	183.0
HABP2	3.0
NRAP	25.0
CASP7	173.0
PLEKHS1	14.0
DCLRE1A	79.0
NHLRC2	147.0
ADRB1	0.0
CCDC186	234.0
TDRD1	1.0
VWA2	24.0
AFAP1L2	228.0
ABLIM1	998.0
FHIP2A	183.0
TRUB1	158.0
ATRNL1	4.0
GFRA1	43.0
CCDC172	0.0
PNLIPRP3	0.0
PNLIP	0.0
PNLIPRP1	0.0
PNLIPRP2	0.0
C10orf82	13.0
HSPA12A	231.0
ENO4	0.0
SHTN1	198.0
VAX1	0.0
KCNK18	0.0
SLC18A2	1.0
PDZD8	214.0
EMX2	226.0
RAB11FIP2	176.0
FAM204A	356.0
PRLHR	0.0
CACUL1	272.0
NANOS1	152.0
EIF3A	1239.0
DENND10	305.0
SFXN4	153.0
PRDX3	1135.0
GRK5	22.0
RGS10	366.0
TIAL1	614.0
BAG3	128.0
INPP5F	91.0
MCMBP	271.0
SEC23IP	273.0
PLPP4	68.0
WDR11	286.0
FGFR2	570.0
ATE1	162.0
NSMCE4A	187.0
TACC2	92.0
BTBD16	4.0
PLEKHA1	221.0
ARMS2	0.0
HTRA1	1641.0
DMBT1	0.0
SPADH	0.0
C10orf120	1.0
CUZD1	6.0
FAM24B	41.0
FAM24A	0.0
C10orf88	69.0
PSTK	102.0
IKZF5	157.0
ACADSB	87.0
HMX3	0.0
HMX2	0.0
BUB3	327.0
GPR26	0.0
CPXM2	97.0
CHST15	208.0
OAT	558.0
NKX1-2	0.0
LHPP	65.0
FAM53B	105.0
EEF1AKMT2	203.0
ABRAXAS2	46.0
ZRANB1	189.0
CTBP2	768.0
TEX36	0.0
EDRF1	110.0
MMP21	0.0
UROS	343.0
BCCIP	312.0
DHX32	125.0
FANK1	20.0
ADAM12	243.0
C10orf90	0.0
DOCK1	169.0
INSYN2A	4.0
NPS	0.0
FOXI2	0.0
CLRN3	0.0
PTPRE	114.0
MKI67	86.0
MGMT	464.0
EBF3	5.0
C10orf143	7.0
GLRX3	307.0
TCERG1L	1.0
PPP2R2D	136.0
BNIP3	1000.0
JAKMIP3	20.0
DPYSL4	22.0
STK32C	144.0
LRRC27	81.0
PWWP2B	247.0
INPP5A	132.0
NKX6-2	4.0
CFAP46	12.0
ADGRA1	0.0
KNDC1	25.0
UTF1	0.0
VENTX	17.0
ADAM8	533.0
TUBGCP2	345.0
ZNF511	127.0
CALY	1.0
PRAP1	18.0
FUOM	209.0
ECHS1	1224.0
PAOX	42.0
MTG1	378.0
SPRN	5.0
SCART1	23.0
CYP2E1	7.0
SYCE1	0.0
FRG2B	0.0
BET1L	132.0
SCGB1C1	1.0
ODF3	0.0
RIC8A	316.0
SIRT3	81.0
PSMD13	501.0
NLRP6	0.0
PGGHG	543.0
IFITM5	0.0
IFITM2	652.0
IFITM1	1745.0
IFITM3	4096.0
B4GALNT4	195.0
PKP3	85.0
SIGIRR	243.0
ANO9	119.0
PTDSS2	70.0
RNH1	504.0
HRAS	114.0
LRRC56	7.0
LMNTD2	5.0
RASSF7	579.0
PHRF1	92.0
IRF7	220.0
CDHR5	0.0
SCT	11.0
DRD4	9.0
DEAF1	118.0
EPS8L2	301.0
TMEM80	60.0
TALDO1	739.0
GATD1	87.0
CEND1	3.0
SLC25A22	66.0
PANO1	2.0
PIDD1	91.0
RPLP2	9804.0
PNPLA2	94.0
CRACR2B	75.0
CD151	1492.0
POLR2L	2117.0
TSPAN4	683.0
CHID1	293.0
AP2A2	224.0
MUC6	0.0
MUC2	0.0
MUC5AC	4.0
MUC5B	11.0
TOLLIP	178.0
BRSK2	2.0
MOB2	98.0
DUSP8	13.0
KRTAP5-1	0.0
KRTAP5-2	0.0
KRTAP5-3	0.0
KRTAP5-4	0.0
KRTAP5-5	0.0
KRTAP5-6	0.0
IFITM10	20.0
CTSD	2983.0
SYT8	56.0
TNNI2	16.0
LSP1	91.0
PRR33	1.0
TNNT3	5.0
MRPL23	21.0
IGF2	2598.0
ENSG00000284779	1.0
INS	0.0
TH	8.0
ASCL2	19.0
C11orf21	10.0
TSPAN32	22.0
CD81	4284.0
TSSC4	258.0
TRPM5	24.0
KCNQ1	55.0
CDKN1C	388.0
SLC22A18	186.0
PHLDA2	46.0
NAP1L4	617.0
CARS1	166.0
OSBPL5	124.0
MRGPRG	0.0
MRGPRE	2.0
ZNF195	139.0
ART5	7.0
ART1	0.0
CHRNA10	5.0
NUP98	246.0
PGAP2	112.0
RHOG	167.0
STIM1	134.0
RRM1	329.0
SSU72L5	0.0
SSU72L2	0.0
SSU72L4	0.0
SSU72L3	0.0
SSU72L1	0.0
OR52B4	0.0
TRIM21	46.0
OR52K2	0.0
OR52K1	0.0
OR52M1	0.0
OR52I2	0.0
OR52I1	0.0
TRIM68	57.0
OR51D1	0.0
OR51E1	6.0
OR51E2	0.0
OR51C1P	0.0
MMP26	0.0
OR51F1	0.0
OR52R1	0.0
OR51F2	0.0
OR51S1	0.0
OR51T1	0.0
OR51A7	0.0
OR51G2	0.0
OR51G1	0.0
OR51A4	0.0
OR51A2	0.0
OR51L1	0.0
OR52J3	0.0
OR52E2	0.0
OR52E1	0.0
OR52A5	0.0
OR52A1	1.0
OR51V1	0.0
HBB	48.0
HBD	0.0
HBG1	3.0
HBG2	3.0
HBE1	0.0
OR51B4	0.0
OR51B5	0.0
OR51B2	0.0
OR51B6	0.0
OR51M1	0.0
OR51Q1	0.0
OR51I1	0.0
OR51I2	0.0
OR52D1	0.0
UBQLN3	0.0
UBQLNL	1.0
OR52H1	0.0
OR52B6	0.0
TRIM6	67.0
TRIM34	60.0
TRIM5	208.0
TRIM22	200.0
OR52P1	0.0
OR56B1	0.0
OR52N4	0.0
OR56B2P	0.0
OR52N5	0.0
OR52N1	0.0
OR52N2	0.0
OR52E6	0.0
OR52E8	0.0
OR52E4	0.0
OR52E5	0.0
OR56A3	0.0
OR56A5	0.0
OR52L1	0.0
OR56A4	0.0
OR56A1	1.0
OR56B4	0.0
OR52B2	0.0
OR52W1	0.0
C11orf42	0.0
FHIP1B	123.0
CNGA4	0.0
CCKBR	0.0
CAVIN3	246.0
SMPD1	185.0
APBB1	77.0
HPX	4.0
TRIM3	19.0
ARFIP2	341.0
TIMM10B	287.0
DNHD1	27.0
RRP8	88.0
ILK	452.0
TAF10	377.0
TPP1	596.0
DCHS1	96.0
MRPL17	940.0
OR2AG2	0.0
OR2AG1	0.0
OR6A2	0.0
OR10A5	0.0
OR10A2	0.0
OR10A4	0.0
OR2D2	0.0
OR2D3	0.0
ZNF215	1.0
ZNF214	22.0
NLRP14	0.0
RBMXL2	0.0
SYT9	0.0
OLFML1	42.0
PPFIBP2	279.0
CYB5R2	65.0
OVCH2	1.0
OR5P2	0.0
OR5P3	0.0
OR10A6	0.0
OR10A3	0.0
NLRP10	0.0
EIF3F	777.0
TUB	31.0
RIC3	8.0
LMO1	3.0
STK33	13.0
TRIM66	68.0
RPL27A	15136.0
DENND2B	183.0
AKIP1	158.0
C11orf16	1.0
ASCL3	0.0
TMEM9B	358.0
NRIP3	6.0
SCUBE2	32.0
DENND5A	252.0
TMEM41B	250.0
IPO7	565.0
ZNF143	53.0
WEE1	166.0
SWAP70	175.0
SBF2	188.0
ADM	294.0
AMPD3	84.0
RNF141	295.0
LYVE1	97.0
IRAG1	121.0
CTR9	294.0
EIF4G2	3285.0
ZBED5	383.0
GALNT18	57.0
CSNK2A3	0.0
USP47	233.0
DKK3	358.0
MICAL2	225.0
PARVA	508.0
TEAD1	373.0
RASSF10	99.0
BMAL1	58.0
BTBD10	173.0
PTH	0.0
FAR1	321.0
SPON1	5400.0
RRAS2	174.0
COPB1	624.0
PSMA1	1043.0
PDE3B	5.0
CYP2R1	94.0
CALCB	0.0
CALCA	0.0
INSC	0.0
SOX6	27.0
C11orf58	1375.0
PLEKHA7	227.0
RPS13	11085.0
PIK3C2A	353.0
NUCB2	493.0
NCR3LG1	0.0
KCNJ11	38.0
ABCC8	0.0
USH1C	0.0
OTOG	0.0
MYOD1	19.0
KCNC1	0.0
SERGEF	67.0
TPH1	4.0
SAAL1	69.0
MRGPRX3	0.0
MRGPRX4	0.0
SAA4	5.0
SAA2	68.0
SAA1	225.0
HPS5	75.0
GTF2H1	197.0
LDHA	3932.0
LDHC	0.0
LDHAL6A	0.0
TSG101	434.0
UEVLD	128.0
MISFA	111.0
SPTY2D1	190.0
TMEM86A	37.0
IGSF22	16.0
PTPN5	0.0
MRGPRX1	0.0
MRGPRX2	0.0
ZDHHC13	180.0
CSRP3	0.0
E2F8	29.0
NAV2	53.0
DBX1	0.0
HTATIP2	286.0
PRMT3	97.0
SLC6A5	0.0
NELL1	9.0
ANO5	25.0
SLC17A6	0.0
FANCF	107.0
GAS2	4.0
SVIP	254.0
CCDC179	0.0
LUZP2	2.0
ANO3	1.0
MUC15	8.0
SLC5A12	2.0
FIBIN	143.0
BBOX1	87.0
CCDC34	147.0
LGR4	454.0
LIN7C	378.0
BDNF	5.0
KIF18A	45.0
METTL15	112.0
KCNA4	0.0
FSHB	0.0
ARL14EP	177.0
MPPED2	54.0
DCDC1	3.0
DNAJC24	98.0
IMMP1L	555.0
ELP4	43.0
PAX6	27.0
RCN1	1186.0
WT1	540.0
EIF3M	980.0
CCDC73	0.0
PRRG4	37.0
QSER1	333.0
DEPDC7	26.0
TCP11L1	29.0
CSTF3	213.0
HIPK3	478.0
KIAA1549L	13.0
C11orf91	2.0
CD59	2434.0
FBXO3	241.0
LMO2	170.0
CAPRIN1	849.0
NAT10	151.0
ABTB2	22.0
CAT	428.0
ELF5	0.0
EHF	251.0
APIP	152.0
PDHX	202.0
CD44	549.0
SLC1A2	1.0
PAMR1	36.0
FJX1	340.0
TRIM44	442.0
LDLRAD3	32.0
COMMD9	287.0
PRR5L	68.0
TRAF6	67.0
RAG1	17.0
RAG2	0.0
IFTAP	229.0
LRRC4C	7.0
API5	232.0
TTC17	283.0
HSD17B12	538.0
ALKBH3	132.0
C11orf96	45.0
ACCSL	0.0
ACCS	91.0
EXT2	426.0
ALX4	0.0
CD82	300.0
TSPAN18	23.0
TP53I11	136.0
PRDM11	53.0
SYT13	43.0
CHST1	55.0
SLC35C1	148.0
CRY2	91.0
MAPK8IP1	89.0
FREY1	0.0
PEX16	181.0
LARGE2	118.0
PHF21A	132.0
CREB3L1	79.0
DGKZ	271.0
MDK	9117.0
CHRM4	1.0
AMBRA1	103.0
HARBI1	8.0
ATG13	198.0
ARHGAP1	262.0
ZNF408	63.0
F2	0.0
CKAP5	175.0
LRP4	11.0
CSTPP1	109.0
ARFGAP2	313.0
PACSIN3	137.0
DDB2	161.0
ACP2	312.0
NR1H3	95.0
MADD	207.0
MYBPC3	5.0
SPI1	57.0
SLC39A13	358.0
PSMC3	648.0
RAPSN	25.0
CELF1	540.0
NDUFS3	518.0
PTPMT1	193.0
KBTBD4	127.0
FAM180B	0.0
C1QTNF4	6.0
MTCH2	453.0
AGBL2	8.0
FNBP4	277.0
NUP160	306.0
PTPRJ	90.0
OR4B1	0.0
OR4X2	0.0
OR4X1	0.0
OR4S1	0.0
OR4C3	0.0
OR4C5	0.0
OR4A47	0.0
TRIM51G	0.0
TRIM49B	2.0
TRIM64C	0.0
FOLH1	114.0
OR4C13	0.0
OR4C12	0.0
OR4C45	0.0
OR4C46	0.0
OR4A8	0.0
OR4A5	0.0
TRIM48	1.0
OR4A16	0.0
OR4A15	0.0
OR4C15	0.0
OR4C16	0.0
OR4C11	0.0
OR4P4	0.0
OR4S2	0.0
OR4C6	0.0
OR5D3P	0.0
OR5D13	0.0
OR5D14	0.0
OR5L1	0.0
OR5D18	0.0
OR5L2	0.0
OR5D16	0.0
TRIM51	0.0
OR5W2	0.0
OR5I1	0.0
OR10AG1	0.0
OR5F1	0.0
OR5AS1	0.0
OR8I2	0.0
OR8H2	0.0
OR8H3	0.0
OR8J3	0.0
OR8K5	0.0
OR5J2	0.0
OR8J2	0.0
OR5T2	0.0
OR5T3	0.0
OR5T1	0.0
OR8H1	0.0
OR8K3	0.0
OR8K1	0.0
OR8J1	0.0
OR8U1	0.0
OR5AL1	0.0
OR8U3	0.0
OR5M9	0.0
OR5M3	0.0
OR5M8	0.0
OR5M11	0.0
OR5M10	0.0
OR5M1	0.0
OR5AP2	0.0
OR5AR1	0.0
OR9G1	0.0
OR9G4	0.0
OR5G3	0.0
OR5AK3P	0.0
OR5AK2	0.0
LRRC55	17.0
APLNR	29.0
TNKS1BP1	156.0
SSRP1	424.0
P2RX3	8.0
PRG3	0.0
PRG2	9.0
SLC43A3	303.0
RTN4RL2	27.0
SLC43A1	37.0
TIMM10	1028.0
SMTNL1	0.0
UBE2L6	523.0
SERPING1	1239.0
YPEL4	14.0
CLP1	77.0
ZDHHC5	381.0
MED19	323.0
TMX2	489.0
SELENOH	4630.0
BTBD18	0.0
CTNND1	472.0
OR9Q1	0.0
OR6Q1	0.0
OR9I1	0.0
OR9Q2	0.0
OR1S2	0.0
OR1S1	0.0
OR10Q1	0.0
OR10W1	0.0
OR5B17	0.0
OR5B3	0.0
OR5B2	0.0
OR5B12	0.0
OR5B21	0.0
LPXN	48.0
ZFP91	369.0
CNTF	0.0
GLYAT	0.0
GLYATL2	1.0
GLYATL1	3.0
GLYATL1B	0.0
FAM111B	38.0
FAM111A	203.0
DTX4	114.0
MPEG1	60.0
OR5AN1	0.0
OR5A2	0.0
OR5A1	0.0
OR4D6	0.0
OR4D10	0.0
OR4D11	0.0
OR4D9	1.0
OSBP	276.0
PATL1	87.0
OR10V1	0.0
STX3	263.0
MRPL16	201.0
CBLIF	0.0
TCN1	2.0
OOSP3	0.0
OOSP1	0.0
OOSP4A	0.0
OOSP4B	0.0
OOSP2	0.0
MS4A3	0.0
MS4A2	0.0
MS4A6A	166.0
MS4A4A	197.0
MS4A4E	4.0
MS4A6E	0.0
MS4A7	193.0
MS4A14	12.0
MS4A5	0.0
MS4A1	2.0
MS4A12	0.0
MS4A13	0.0
MS4A8	0.0
MS4A18	0.0
MS4A15	0.0
MS4A10	0.0
CCDC86	45.0
PTGDR2	0.0
ZP1	11.0
PRPF19	195.0
TMEM109	509.0
TMEM132A	388.0
SLC15A3	162.0
CD6	43.0
CD5	3.0
VPS37C	87.0
PGA3	2.0
PGA4	0.0
PGA5	4.0
VWCE	4.0
DDB1	759.0
TKFC	129.0
CYB561A3	163.0
TMEM138	120.0
TMEM216	129.0
CPSF7	256.0
SDHAF2	518.0
PPP1R32	17.0
LRRC10B	3.0
SYT7	85.0
DAGLA	35.0
MYRF	424.0
TMEM258	2102.0
FEN1	140.0
FADS2	146.0
FADS1	137.0
FADS3	189.0
RAB3IL1	77.0
BEST1	145.0
FTH1	30314.0
INCENP	18.0
SCGB1D1	0.0
SCGB2A1	386.0
SCGB1D2	192.0
SCGB2A2	1.0
SCGB1D4	0.0
ASRGL1	295.0
SCGB1A1	20.0
AHNAK	2482.0
EEF1G	5150.0
TUT1	103.0
MTA2	103.0
EML3	87.0
ROM1	24.0
B3GAT3	337.0
GANAB	611.0
INTS5	98.0
C11orf98	185.0
LBHD1	5.0
CSKMT	437.0
UQCC3	842.0
UBXN1	506.0
LRRN4CL	21.0
BSCL2	378.0
GNG3	1.0
HNRNPUL2	356.0
TTC9C	146.0
ZBTB3	56.0
POLR2G	1189.0
TAF6L	39.0
TMEM223	405.0
TMEM179B	697.0
NXF1	143.0
STX5	212.0
TEX54	0.0
WDR74	186.0
SLC3A2	558.0
CHRM1	1.0
SLC22A6	0.0
SLC22A8	0.0
SLC22A24	0.0
SLC22A25	0.0
SLC22A10	0.0
SLC22A9	0.0
PLAAT5	1.0
LGALS12	1.0
PLAAT4	235.0
PLAAT2	9.0
PLAAT3	244.0
ATL3	621.0
RTN3	582.0
ZFTA	131.0
SPINDOC	49.0
MARK2	165.0
RCOR2	29.0
NAA40	105.0
COX8A	3789.0
OTUB1	519.0
MACROD1	25.0
FLRT1	0.0
STIP1	375.0
FERMT3	77.0
TRPT1	265.0
NUDT22	370.0
DNAJC4	245.0
VEGFB	712.0
FKBP2	207.0
ENSG00000286264	11.0
PPP1R14B	1179.0
PLCB3	78.0
BAD	836.0
GPR137	83.0
KCNK4	0.0
CATSPERZ	1.0
ESRRA	263.0
TRMT112	2604.0
PRDX5	4501.0
CCDC88B	116.0
RPS6KA4	153.0
SLC22A11	0.0
SLC22A12	0.0
NRXN2	5.0
RASGRP2	29.0
PYGM	18.0
SF1	402.0
MAP4K2	107.0
MEN1	127.0
CDC42BPG	89.0
EHD1	165.0
ATG2A	164.0
PPP2R5B	77.0
GPHA2	2.0
MAJIN	22.0
BATF2	22.0
ARL2	738.0
SNX15	100.0
SAC3D1	97.0
NAALADL1	76.0
CDCA5	356.0
ZFPL1	220.0
TMEM262	1.0
VPS51	296.0
TM7SF2	784.0
ZNHIT2	142.0
FAU	11258.0
SYVN1	383.0
MRPL49	259.0
SPDYC	14.0
CAPN1	515.0
POLA2	86.0
CDC42EP2	35.0
DPF2	175.0
TIGD3	1.0
SLC25A45	17.0
FRMD8	424.0
SCYL1	384.0
LTBP3	576.0
ZNRD2	344.0
FAM89B	279.0
EHBP1L1	193.0
KCNK7	0.0
MAP3K11	182.0
PCNX3	72.0
SIPA1	239.0
RELA	263.0
KAT5	177.0
RNASEH2C	971.0
AP5B1	70.0
OVOL1	21.0
CFL1	3233.0
SNX32	0.0
MUS81	221.0
EFEMP2	556.0
CTSW	1.0
FIBP	312.0
CCDC85B	337.0
FOSL1	9.0
C11orf68	153.0
DRAP1	729.0
TSGA10IP	0.0
SART1	143.0
EIF1AD	143.0
BANF1	1523.0
CST6	121.0
CATSPER1	23.0
GAL3ST3	9.0
SF3B2	511.0
PACS1	124.0
KLC2	49.0
RAB1B	372.0
CNIH2	11.0
YIF1A	810.0
TMEM151A	1.0
CD248	120.0
RIN1	37.0
BRMS1	185.0
B4GAT1	122.0
SLC29A2	73.0
NPAS4	2.0
MRPL11	545.0
PELI3	37.0
DPP3	224.0
BBS1	127.0
ZDHHC24	145.0
ACTN3	0.0
CTSF	507.0
CCDC87	1.0
CCS	454.0
RBM14	200.0
RBM4	757.0
RBM4B	68.0
SPTBN2	261.0
C11orf80	26.0
RCE1	151.0
PC	72.0
LRFN4	201.0
C11orf86	0.0
SYT12	13.0
RHOD	131.0
KDM2A	390.0
GRK2	250.0
ANKRD13D	222.0
SSH3	163.0
RAD9A	194.0
POLD4	1425.0
CLCF1	98.0
PPP1CA	1330.0
TBC1D10C	95.0
CARNS1	45.0
RPS6KB2	485.0
PTPRCAP	0.0
CORO1B	461.0
GPR152	0.0
CABP4	9.0
TMEM134	470.0
AIP	469.0
PITPNM1	236.0
CDK2AP2	463.0
CABP2	0.0
GSTP1	5225.0
NDUFV1	882.0
NUDT8	48.0
TBX10	0.0
ACY3	7.0
ALDH3B2	35.0
UNC93B1	364.0
ALDH3B1	168.0
NDUFS8	784.0
TCIRG1	387.0
CHKA	157.0
KMT5B	218.0
C11orf24	132.0
LRP5	89.0
PPP6R3	413.0
GAL	3.0
TESMIN	126.0
CPT1A	259.0
MRPL21	932.0
IGHMBP2	56.0
MRGPRD	0.0
MRGPRF	53.0
TPCN2	65.0
SMIM38	11.0
MYEOV	12.0
CCND1	1427.0
LTO1	115.0
FGF19	0.0
FGF4	0.0
FGF3	1.0
ANO1	67.0
FADD	221.0
PPFIA1	246.0
CTTN	626.0
SHANK2	27.0
DHCR7	237.0
NADSYN1	185.0
KRTAP5-7	0.0
KRTAP5-8	1.0
KRTAP5-9	0.0
KRTAP5-10	14.0
KRTAP5-11	0.0
DEFB108B	0.0
XNDC1N	17.0
DEFB131B	0.0
RNF121	189.0
IL18BP	18.0
NUMA1	700.0
LRRC51	69.0
LAMTOR1	963.0
TOMT	4.0
ANAPC15	204.0
FOLR3	43.0
FOLR1	1108.0
FOLR2	35.0
INPPL1	381.0
PHOX2A	0.0
CLPB	107.0
PDE2A	31.0
ARAP1	790.0
STARD10	118.0
ATG16L2	101.0
FCHSD2	119.0
P2RY2	42.0
P2RY6	65.0
ARHGEF17	222.0
RELT	47.0
FAM168A	174.0
PLEKHB1	190.0
RAB6A	274.0
MRPL48	258.0
COA4	849.0
PAAF1	78.0
DNAJB13	80.0
UCP2	160.0
UCP3	4.0
C2CD3	60.0
PPME1	48.0
P4HA3	36.0
PGM2L1	108.0
KCNE3	144.0
LIPT2	10.0
POLD3	64.0
CHRDL2	9.0
RNF169	102.0
XRRA1	39.0
SPCS2	1048.0
NEU3	64.0
OR2AT4	1.0
SLCO2B1	180.0
TPBGL	4.0
ARRB1	78.0
RPS3	16290.0
KLHL35	32.0
GDPD5	75.0
SERPINH1	2213.0
MAP6	5.0
MOGAT2	0.0
DGAT2	24.0
UVRAG	69.0
WNT11	57.0
THAP12	275.0
GVQW3	35.0
EMSY	118.0
LRRC32	327.0
TSKU	351.0
ACER3	97.0
B3GNT6	0.0
CAPN5	172.0
OMP	0.0
MYO7A	45.0
GDPD4	0.0
PAK1	159.0
CLNS1A	759.0
AQP11	27.0
RSF1	300.0
AAMDC	231.0
INTS4	96.0
KCTD14	33.0
THRSP	12.0
NDUFC2	3318.0
ALG8	172.0
KCTD21	38.0
USP35	48.0
GAB2	127.0
NARS2	124.0
TENM4	270.0
FAM181B	4.0
PRCP	534.0
DDIAS	27.0
RAB30	45.0
PCF11	310.0
ANKRD42	71.0
CCDC90B	548.0
DLG2	5.0
TMEM126B	622.0
TMEM126A	376.0
CREBZF	415.0
CCDC89	45.0
SYTL2	109.0
CCDC83	0.0
PICALM	565.0
EED	184.0
HIKESHI	580.0
CCDC81	3.0
ME3	87.0
PRSS23	550.0
FZD4	173.0
TMEM135	107.0
RAB38	26.0
CTSC	732.0
GRM5	1.0
TYR	1.0
NOX4	537.0
TRIM77	0.0
TRIM49	0.0
TRIM64B	2.0
TRIM49D1	0.0
TRIM49D2	0.0
TRIM64	0.0
TRIM49C	2.0
UBTFL1	0.0
NAALAD2	9.0
CHORDC1	479.0
FAT3	7.0
MTNR1B	0.0
SLC36A4	70.0
DEUP1	0.0
SMCO4	132.0
CEP295	95.0
TAF1D	554.0
C11orf54	182.0
MED17	223.0
VSTM5	2.0
HEPHL1	0.0
PANX1	66.0
IZUMO1R	0.0
GPR83	1.0
MRE11	117.0
ANKRD49	135.0
C11orf97	0.0
PIWIL4	9.0
FUT4	43.0
AMOTL1	144.0
CWC15	696.0
KDM4D	5.0
KDM4E	0.0
KDM4F	0.0
SRSF8	251.0
ENDOD1	123.0
SESN3	139.0
FAM76B	128.0
CEP57	220.0
MTMR2	105.0
MAML2	133.0
CCDC82	163.0
JRKL	100.0
CNTN5	3.0
ARHGAP42	52.0
PGR	76.0
TRPC6	23.0
ANGPTL5	0.0
CEP126	10.0
CFAP300	17.0
YAP1	698.0
BIRC3	113.0
BIRC2	414.0
TMEM123	1154.0
MMP7	420.0
MMP20	0.0
MMP27	0.0
MMP8	0.0
MMP10	1556.0
MMP1	153.0
MMP3	1.0
MMP12	1.0
MMP13	19.0
DCUN1D5	290.0
DYNC2H1	61.0
PDGFD	182.0
DDI1	0.0
CASP12	1.0
CASP4	302.0
CASP5	1.0
CASP1	69.0
CARD16	209.0
CARD18	0.0
GRIA4	0.0
MSANTD4	115.0
KBTBD3	118.0
AASDHPPT	237.0
GUCY1A2	43.0
CWF19L2	118.0
ALKBH8	38.0
ELMOD1	1.0
SLN	0.0
SLC35F2	120.0
RAB39A	0.0
CUL5	219.0
ACAT1	183.0
NPAT	88.0
ATM	331.0
C11orf65	6.0
POGLUT3	138.0
EXPH5	55.0
DDX10	56.0
C11orf87	1.0
RDX	514.0
ZC3H12C	58.0
FDX1	219.0
ARHGAP20	26.0
POU2AF2	0.0
POU2AF3	2.0
POU2AF1	0.0
BTG4	0.0
HOATZ	0.0
LAYN	58.0
SIK2	127.0
PPP2R1B	83.0
ALG9	75.0
FDXACB1	21.0
CFAP68	222.0
CRYAB	306.0
HSPB2	73.0
C11orf52	164.0
DIXDC1	56.0
DLAT	280.0
PIH1D2	11.0
NKAPD1	183.0
TIMM8B	1571.0
SDHD	924.0
IL18	66.0
TEX12	1.0
BCO2	6.0
PTS	293.0
PLET1	0.0
NCAM1	67.0
TTC12	54.0
ANKK1	3.0
DRD2	2.0
TMPRSS5	21.0
ZW10	73.0
CLDN25	0.0
USP28	204.0
HTR3B	0.0
HTR3A	84.0
ZBTB16	4.0
NNMT	2770.0
C11orf71	201.0
RBM7	333.0
REXO2	384.0
NXPE1	0.0
NXPE4	0.0
NXPE2	0.0
CADM1	512.0
BUD13	38.0
ZPR1	231.0
APOA5	0.0
APOA4	0.0
APOC3	0.0
APOA1	525.0
SIK3	128.0
PAFAH1B2	805.0
SIDT2	250.0
TAGLN	3757.0
PCSK7	111.0
RNF214	82.0
BACE1	164.0
CEP164	132.0
DSCAML1	4.0
FXYD2	29.0
FXYD6	115.0
TMPRSS13	3.0
IL10RA	167.0
SMIM35	2.0
TMPRSS4	575.0
SCN4B	5.0
SCN2B	13.0
JAML	48.0
MPZL3	36.0
MPZL2	184.0
CD3E	2.0
CD3D	22.0
CD3G	4.0
UBE4A	377.0
ATP5MG	2684.0
KMT2A	317.0
TTC36	0.0
TMEM25	81.0
IFT46	202.0
ARCN1	528.0
PHLDB1	346.0
TREH	2.0
DDX6	686.0
CXCR5	0.0
BCL9L	148.0
UPK2	0.0
FOXR1	0.0
CENATAC	140.0
RPS25	11973.0
TRAPPC4	375.0
SLC37A4	230.0
HYOU1	196.0
VPS11	160.0
HMBS	162.0
H2AX	205.0
DPAGT1	165.0
C2CD2L	67.0
HINFP	102.0
ABCG4	3.0
NLRX1	78.0
NHERF4	0.0
CCDC153	16.0
CBL	133.0
MCAM	161.0
RNF26	136.0
C1QTNF5	0.0
MFRP	0.0
USP2	21.0
THY1	1057.0
NECTIN1	100.0
TRIM29	231.0
OAF	209.0
POU2F3	9.0
TLCD5	176.0
ARHGEF12	423.0
GRIK4	2.0
TBCEL	93.0
TECTA	1.0
SC5D	248.0
SORL1	1698.0
BLID	0.0
UBASH3B	29.0
CRTAM	5.0
JHY	55.0
BSX	0.0
HSPA8	4937.0
CLMP	135.0
GRAMD1B	45.0
SCN3B	9.0
ZNF202	53.0
OR6X1	0.0
OR6M1	0.0
TMEM225	0.0
OR8D4	0.0
OR4D5	0.0
OR6T1	0.0
OR10S1	0.0
OR10G6	0.0
OR10G4	0.0
OR10G9	0.0
OR10G8	0.0
OR10G7	0.0
VWA5A	69.0
OR10D3	0.0
OR8G3P	0.0
OR8G2P	0.0
OR8G1	0.0
OR8G5	0.0
OR8D1	0.0
OR8D2	0.0
OR8B2	0.0
OR8B3	0.0
OR8B4	0.0
OR8B8	0.0
OR8B12	0.0
OR8A1	0.0
PANX3	0.0
TBRG1	145.0
SIAE	204.0
SPA17	54.0
NRGN	29.0
VSIG2	4.0
ESAM	64.0
MSANTD2	54.0
ROBO3	57.0
ROBO4	23.0
HEPACAM	0.0
HEPN1	0.0
CCDC15	7.0
